trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.7, 'e': 0.4693530602654403}",30,20,17.187647059677094,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.4635690174959975}",20,16,7.152287107209998,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.4578562540120031}",20,11,16.018911120688607,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.45221389140768853}",20,0,29.08427847548886,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.7, 'e': 0.44664106210226334}",20,6,21.766387626844352,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.44113690920651394}",25,15,16.656879061251576,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.43570058639104686}",20,0,23.59329820710613,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.7, 'e': 0.43033125775615544}",20,16,8.261926072791772,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.4250280977032902}",30,24,12.422382876597649,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.4197902908081132}",20,14,12.795503519040178,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.4146170316951167}",30,10,29.117549610177164,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.4095075249137873}",20,1,29.11013422131618,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.4044609848162955}",30,24,10.399542881612712,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.3994766354366933}",30,10,31.924382860737992,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.3945537103716001}",20,16,8.090222939952023,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.38969145266235866}",20,10,16.624892022233542,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.3848891146786441}",30,22,15.007617708398016,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.38014595800350653}",30,17,20.99703366388697,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.7, 'e': 0.37546125331983066}",25,20,11.45495147405688,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
